"ID","value"
1,"LA10"
2,"LA20"
3,"LA40"
4,"MA18R"
5,"MS20"
6,"MS21"
7,"MS22"
8,"MS25"
9,"MS25P"
10,"RE10"
11,"RE11"
12,"RE11P"
13,"RE12"
14,"RE12P"
15,"RE13"
16,"RE14"
17,"RE15"
18,"RE16"
19,"RE20"
20,"RE20P"
21,"RE21"
22,"RE21P"
23,"RE22"
24,"RE22P"
25,"RE23"
26,"RE24"
27,"RE24P"
28,"RE25"
29,"RE25P"
30,"RE26"
31,"RE37"
32,"RE38"
33,"RE39"
34,"RS20"
35,"RS20P"
36,"RS21"
37,"RS21P"
38,"RS22"
39,"RS22M"
40,"RS22P"
41,"RS23"
42,"RS24"
43,"RS25"
44,"RS25P"
45,"RS26"
46,"RS37"
47,"RS38"
48,"RS39"
49,"TOB9D"
50,"TOB9L"
51,"TOB9N"
52,"TOB9U"
53,"TOF8L"
54,"TOF8N"
55,"TOF8U"
