"ID","fireCycle","Zone_LN","scenario","period"
1,44,"G1","baseline","2011-2040"
2,59,"G2","baseline","2011-2040"
3,67,"G3","baseline","2011-2040"
4,94,"G4","baseline","2011-2040"
5,183,"G5","baseline","2011-2040"
6,272,"G6","baseline","2011-2040"
7,395,"G7","baseline","2011-2040"
8,712,"G8","baseline","2011-2040"
9,1668,"G9","baseline","2011-2040"
10,8167,"G10","baseline","2011-2040"
1,44,"G1","baseline","2041-2070"
2,59,"G2","baseline","2041-2070"
3,67,"G3","baseline","2041-2070"
4,94,"G4","baseline","2041-2070"
5,183,"G5","baseline","2041-2070"
6,272,"G6","baseline","2041-2070"
7,395,"G7","baseline","2041-2070"
8,712,"G8","baseline","2041-2070"
9,1668,"G9","baseline","2041-2070"
10,8167,"G10","baseline","2041-2070"
