"id_ms","[0,30)","1","2","3","4","[0,30)","1","2","3","4"
1,0.8,21.3,27.7,28.4,21.8,95,269,109,68,90
2,0.9,21.4,35,30.5,12.2,105,271,138,73,50
3,0.8,19.9,35.9,30.8,12.6,96,252,142,74,52
4,0.8,16.4,31,39.1,12.7,95,208,123,94,52
5,0.9,16.2,28.8,40.7,13.4,103,205,110,99,56
6,0.8,15.7,31.1,39.2,13.2,96,198,123,94,54
7,0.8,15.3,29.1,40.8,13.9,95,193,111,99,58
8,0.9,11.8,27,47,13.4,103,150,107,113,55
9,0.9,11.5,23,50,14.6,104,145,86,123,61
10,0,42.4,44.9,9.8,2.9,0,486,177,24,12
11,0,42.6,46.2,9.7,1.5,0,489,183,23,6
12,0,28.7,41.5,27.3,2.5,0,329,164,66,10
13,0,27.5,32.6,37,2.9,0,313,125,90,12
14,0,16.3,37.1,43.7,2.8,0,187,147,105,12
15,0.1,13.9,20.2,62.1,3.8,241,158,77,151,16
